1: ([37.555711, -122.134018], [37.802622, -122.071172])
2: ([37.763595, -122.302201], [37.749696, -122.260926])
3: ([37.457100, -122.209040], [37.516766, -122.212584])
4: ([37.483142, -122.249120], [37.737367, -122.143456])
5: ([37.804748, -122.140728], [37.516707, -122.204856])
6: ([37.644084, -122.347965], [37.464043, -122.260902])
7: ([37.440613, -122.331756], [37.492157, -122.276198])
8: ([37.640772, -122.374430], [37.793512, -122.349836])
9: ([37.657760, -122.381351], [37.475212, -122.313489])
10: ([37.780625, -122.246908], [37.571398, -122.260684])
11: ([37.518411, -122.208237], [37.777398, -122.261796])
12: ([37.668957, -122.307196], [37.419100, -122.202922])
13: ([37.539268, -122.101719], [37.454431, -122.325052])
14: ([37.706495, -122.183133], [37.631454, -122.254199])
15: ([37.722676, -122.073354], [37.508688, -122.266672])
